region,url,fpath,granule_id,dataset_id,start_time,end_time,spatial_extent
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v06.061.2023154043201/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v06.061.2023164032102/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v06.061.2023170174522/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023169.h09v06.061.2023178032028/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023177.h09v06.061.2023191223224/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023185.h09v06.061.2023201095900/MOD11A2.A2023185.h09v06.061.2023201095900.hdf,./data/MODIS-LST/urban/MOD11A2.A2023185.h09v06.061.2023201095900.hdf,G2736211341-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023185.h09v06.061.2023201095900/MOD11A2.A2023185.h09v06.061.2023201095900.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023185.h09v06.061.2023201095900.cmr.xml,G2736211341-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023185.h09v06.061.2023201095900/MOD11A2.A2023185.h09v06.061.2023201095900.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023185.h09v06.061.2023201095900.cmr.xml,G2736211341-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2736211341-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023193.h09v06.061.2023214104850/MOD11A2.A2023193.h09v06.061.2023214104850.hdf,./data/MODIS-LST/urban/MOD11A2.A2023193.h09v06.061.2023214104850.hdf,G2746054083-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023193.h09v06.061.2023214104850/MOD11A2.A2023193.h09v06.061.2023214104850.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023193.h09v06.061.2023214104850.cmr.xml,G2746054083-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023193.h09v06.061.2023214104850/MOD11A2.A2023193.h09v06.061.2023214104850.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023193.h09v06.061.2023214104850.cmr.xml,G2746054083-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2746054083-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023201.h09v06.061.2023215145515/MOD11A2.A2023201.h09v06.061.2023215145515.hdf,./data/MODIS-LST/urban/MOD11A2.A2023201.h09v06.061.2023215145515.hdf,G2746053526-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023201.h09v06.061.2023215145515/MOD11A2.A2023201.h09v06.061.2023215145515.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023201.h09v06.061.2023215145515.cmr.xml,G2746053526-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023201.h09v06.061.2023215145515/MOD11A2.A2023201.h09v06.061.2023215145515.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023201.h09v06.061.2023215145515.cmr.xml,G2746053526-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2746053526-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023209.h09v06.061.2023220022032/MOD11A2.A2023209.h09v06.061.2023220022032.hdf,./data/MODIS-LST/urban/MOD11A2.A2023209.h09v06.061.2023220022032.hdf,G2746623211-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023209.h09v06.061.2023220022032/MOD11A2.A2023209.h09v06.061.2023220022032.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023209.h09v06.061.2023220022032.cmr.xml,G2746623211-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023209.h09v06.061.2023220022032/MOD11A2.A2023209.h09v06.061.2023220022032.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023209.h09v06.061.2023220022032.cmr.xml,G2746623211-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2746623211-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023217.h09v06.061.2023226040517/MOD11A2.A2023217.h09v06.061.2023226040517.hdf,./data/MODIS-LST/urban/MOD11A2.A2023217.h09v06.061.2023226040517.hdf,G2750074060-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-05T00:00:00.000Z,2023-08-12T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023217.h09v06.061.2023226040517/MOD11A2.A2023217.h09v06.061.2023226040517.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023217.h09v06.061.2023226040517.cmr.xml,G2750074060-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-05T00:00:00.000Z,2023-08-12T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023217.h09v06.061.2023226040517/MOD11A2.A2023217.h09v06.061.2023226040517.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023217.h09v06.061.2023226040517.cmr.xml,G2750074060-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-05T00:00:00.000Z,2023-08-12T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2750074060-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-05T00:00:00.000Z,2023-08-12T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023225.h09v06.061.2023235042835/MOD11A2.A2023225.h09v06.061.2023235042835.hdf,./data/MODIS-LST/urban/MOD11A2.A2023225.h09v06.061.2023235042835.hdf,G2755210531-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-13T00:00:00.000Z,2023-08-20T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023225.h09v06.061.2023235042835/MOD11A2.A2023225.h09v06.061.2023235042835.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023225.h09v06.061.2023235042835.cmr.xml,G2755210531-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-13T00:00:00.000Z,2023-08-20T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023225.h09v06.061.2023235042835/MOD11A2.A2023225.h09v06.061.2023235042835.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023225.h09v06.061.2023235042835.cmr.xml,G2755210531-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-13T00:00:00.000Z,2023-08-20T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2755210531-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-13T00:00:00.000Z,2023-08-20T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023233.h09v06.061.2023242040015/MOD11A2.A2023233.h09v06.061.2023242040015.hdf,./data/MODIS-LST/urban/MOD11A2.A2023233.h09v06.061.2023242040015.hdf,G2759098174-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-21T00:00:00.000Z,2023-08-28T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023233.h09v06.061.2023242040015/MOD11A2.A2023233.h09v06.061.2023242040015.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023233.h09v06.061.2023242040015.cmr.xml,G2759098174-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-21T00:00:00.000Z,2023-08-28T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023233.h09v06.061.2023242040015/MOD11A2.A2023233.h09v06.061.2023242040015.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023233.h09v06.061.2023242040015.cmr.xml,G2759098174-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-21T00:00:00.000Z,2023-08-28T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2759098174-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-21T00:00:00.000Z,2023-08-28T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.hdf,./data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.hdf,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
