fname,region,granule_id,dataset_id,start_time,end_time,spatial_extent,.hdf_file,.xml_file,GranuleUR,InsertTime,LastUpdate,DataFormat,Collection__ShortName,Collection__VersionId,PGEVersionClass__PGEVersion,DataGranule__SizeMBDataGranule,DataGranule__ReprocessingPlanned,DataGranule__ReprocessingActual,DataGranule__ProducerGranuleId,DataGranule__DayNightFlag,DataGranule__ProductionDateTime,DataGranule__LocalVersionId,Temporal__RangeDateTime__BeginningDateTime,Temporal__RangeDateTime__EndingDateTime,Campaigns__Campaign__ShortName,AddlAttr__QAPERCENTGOODQUALITY,AddlAttr__QAPERCENTOTHERQUALITY,AddlAttr__QAPERCENTNOTPRODUCEDCLOUD,AddlAttr__QAPERCENTNOTPRODUCEDOTHER,AddlAttr__CLOUD_CONTAMINATED_LST_SCREENED,AddlAttr__HORIZONTALTILENUMBER,AddlAttr__VERTICALTILENUMBER,AddlAttr__TileID,AddlAttr__identifier_product_doi,AddlAttr__identifier_product_doi_authority,Spatial_Coordinates__SW,Spatial_Coordinates__SE,Spatial_Coordinates__NW,Spatial_Coordinates__NE
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v06.061.2023154043201,rural,G2704231088-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v06.061.2023154043201.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v06.061.2023154043201.cmr.xml,MOD11A2.A2023145.h09v06.061.2023154043201,2023-06-02T23:36:16.610Z,2023-06-02T23:36:49.187Z,HDF-EOS2,MOD11A2,061,6.4.4,3.23938,further update is anticipated,reprocessed,MOD11A2.A2023145.h09v06.061.2023154043201,BOTH,2023-06-03T04:32:01.000Z,6.3.0,2023-05-25T00:00:00.000000Z,2023-06-01T23:59:59.000000Z,TERRA,18,10,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v05.061.2023154041457,rural,G2704231280-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v05.061.2023154041457.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023145.h09v05.061.2023154041457.cmr.xml,MOD11A2.A2023145.h09v05.061.2023154041457,2023-06-02T23:20:26.307Z,2023-06-02T23:20:57.547Z,HDF-EOS2,MOD11A2,061,6.4.4,8.02038,further update is anticipated,reprocessed,MOD11A2.A2023145.h09v05.061.2023154041457,BOTH,2023-06-03T04:14:57.000Z,6.3.0,2023-05-25T00:00:00.000000Z,2023-06-01T23:59:59.000000Z,TERRA,60,36,04,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v06.061.2023164032102,rural,G2709329705-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v06.061.2023164032102.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v06.061.2023164032102.cmr.xml,MOD11A2.A2023153.h09v06.061.2023164032102,2023-06-12T23:05:35.619Z,2023-06-12T23:06:08.832Z,HDF-EOS2,MOD11A2,061,6.4.4,3.17643,further update is anticipated,reprocessed,MOD11A2.A2023153.h09v06.061.2023164032102,BOTH,2023-06-13T03:21:02.000Z,6.3.0,2023-06-02T00:00:00.000000Z,2023-06-09T23:59:59.000000Z,TERRA,21,06,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v05.061.2023164034529,rural,G2709350019-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v05.061.2023164034529.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023153.h09v05.061.2023164034529.cmr.xml,MOD11A2.A2023153.h09v05.061.2023164034529,2023-06-12T23:49:17.168Z,2023-06-12T23:49:49.631Z,HDF-EOS2,MOD11A2,061,6.4.4,8.37,further update is anticipated,reprocessed,MOD11A2.A2023153.h09v05.061.2023164034529,BOTH,2023-06-13T03:45:29.000Z,6.3.0,2023-06-02T00:00:00.000000Z,2023-06-09T23:59:59.000000Z,TERRA,57,40,03,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v06.061.2023170174522,rural,G2715588619-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v06.061.2023170174522.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v06.061.2023170174522.cmr.xml,MOD11A2.A2023161.h09v06.061.2023170174522,2023-06-19T12:53:11.362Z,2023-06-19T12:57:31.217Z,HDF-EOS2,MOD11A2,061,6.4.4,3.04064,further update is anticipated,reprocessed,MOD11A2.A2023161.h09v06.061.2023170174522,BOTH,2023-06-19T17:45:22.000Z,6.3.0,2023-06-10T00:00:00.000000Z,2023-06-17T23:59:59.000000Z,TERRA,23,05,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v05.061.2023170174847,rural,G2715598329-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v05.061.2023170174847.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023161.h09v05.061.2023170174847.cmr.xml,MOD11A2.A2023161.h09v05.061.2023170174847,2023-06-19T13:09:42.027Z,2023-06-19T13:10:16.444Z,HDF-EOS2,MOD11A2,061,6.4.4,7.96,further update is anticipated,reprocessed,MOD11A2.A2023161.h09v05.061.2023170174847,BOTH,2023-06-19T17:48:47.000Z,6.3.0,2023-06-10T00:00:00.000000Z,2023-06-17T23:59:59.000000Z,TERRA,64,34,02,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v06.061.2023178032028,rural,G2720713652-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v06.061.2023178032028.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v06.061.2023178032028.cmr.xml,MOD11A2.A2023169.h09v06.061.2023178032028,2023-06-26T22:24:39.480Z,2023-06-26T22:25:12.256Z,HDF-EOS2,MOD11A2,061,6.4.4,2.93445,further update is anticipated,reprocessed,MOD11A2.A2023169.h09v06.061.2023178032028,BOTH,2023-06-27T03:20:28.000Z,6.3.0,2023-06-18T00:00:00.000000Z,2023-06-25T23:59:59.000000Z,TERRA,24,04,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v05.061.2023178033518,rural,G2720724342-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-18T00:00:00.000Z,2023-06-25T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v05.061.2023178033518.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023169.h09v05.061.2023178033518.cmr.xml,MOD11A2.A2023169.h09v05.061.2023178033518,2023-06-26T22:49:40.971Z,2023-06-26T22:50:14.727Z,HDF-EOS2,MOD11A2,061,6.4.4,7.28551,further update is anticipated,reprocessed,MOD11A2.A2023169.h09v05.061.2023178033518,BOTH,2023-06-27T03:35:18.000Z,6.3.0,2023-06-18T00:00:00.000000Z,2023-06-25T23:59:59.000000Z,TERRA,77,23,00,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v06.061.2023191223224,rural,G2730471847-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v06.061.2023191223224.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v06.061.2023191223224.cmr.xml,MOD11A2.A2023177.h09v06.061.2023191223224,2023-07-10T17:56:14.751Z,2023-07-10T17:56:46.839Z,HDF-EOS2,MOD11A2,061,6.4.4,3.02013,further update is anticipated,reprocessed,MOD11A2.A2023177.h09v06.061.2023191223224,BOTH,2023-07-10T22:32:24.000Z,6.3.0,2023-06-26T00:00:00.000000Z,2023-07-03T23:59:59.000000Z,TERRA,22,05,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v05.061.2023191223728,rural,G2730475989-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-26T00:00:00.000Z,2023-07-03T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v05.061.2023191223728.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023177.h09v05.061.2023191223728.cmr.xml,MOD11A2.A2023177.h09v05.061.2023191223728,2023-07-10T18:08:16.257Z,2023-07-10T18:08:49.159Z,HDF-EOS2,MOD11A2,061,6.4.4,7.38438,further update is anticipated,reprocessed,MOD11A2.A2023177.h09v05.061.2023191223728,BOTH,2023-07-10T22:37:28.000Z,6.3.0,2023-06-26T00:00:00.000000Z,2023-07-03T23:59:59.000000Z,TERRA,77,23,00,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v05.061.2023201061553,rural,G2736016380-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v05.061.2023201061553.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v05.061.2023201061553.cmr.xml,MOD11A2.A2023185.h09v05.061.2023201061553,2023-07-20T01:21:04.203Z,2023-07-20T01:21:35.550Z,HDF-EOS2,MOD11A2,061,6.4.4,7.59088,further update is anticipated,reprocessed,MOD11A2.A2023185.h09v05.061.2023201061553,BOTH,2023-07-20T06:15:53.000Z,6.3.0,2023-07-04T00:00:00.000000Z,2023-07-11T23:59:59.000000Z,TERRA,72,27,01,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v06.061.2023201095900,rural,G2736211341-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-04T00:00:00.000Z,2023-07-11T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v06.061.2023201095900.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023185.h09v06.061.2023201095900.cmr.xml,MOD11A2.A2023185.h09v06.061.2023201095900,2023-07-20T05:25:07.829Z,2023-07-20T05:25:40.551Z,HDF-EOS2,MOD11A2,061,6.4.4,3.07002,further update is anticipated,reprocessed,MOD11A2.A2023185.h09v06.061.2023201095900,BOTH,2023-07-20T09:59:00.000Z,6.3.0,2023-07-04T00:00:00.000000Z,2023-07-11T23:59:59.000000Z,TERRA,20,08,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v05.061.2023214104254,rural,G2746053956-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v05.061.2023214104254.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v05.061.2023214104254.cmr.xml,MOD11A2.A2023193.h09v05.061.2023214104254,2023-08-02T21:38:14.178Z,2023-08-02T21:38:45.762Z,HDF-EOS2,MOD11A2,061,6.4.4,7.31836,further update is anticipated,reprocessed,MOD11A2.A2023193.h09v05.061.2023214104254,BOTH,2023-08-02T10:42:54.000Z,6.3.0,2023-07-12T00:00:00.000000Z,2023-07-19T23:59:59.000000Z,TERRA,78,22,00,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v06.061.2023214104850,rural,G2746054083-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-12T00:00:00.000Z,2023-07-19T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v06.061.2023214104850.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023193.h09v06.061.2023214104850.cmr.xml,MOD11A2.A2023193.h09v06.061.2023214104850,2023-08-02T21:42:13.647Z,2023-08-02T21:45:39.659Z,HDF-EOS2,MOD11A2,061,6.4.4,2.83169,further update is anticipated,reprocessed,MOD11A2.A2023193.h09v06.061.2023214104850,BOTH,2023-08-02T10:48:50.000Z,6.3.0,2023-07-12T00:00:00.000000Z,2023-07-19T23:59:59.000000Z,TERRA,23,05,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v06.061.2023215145515,rural,G2746053526-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v06.061.2023215145515.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v06.061.2023215145515.cmr.xml,MOD11A2.A2023201.h09v06.061.2023215145515,2023-08-03T10:05:50.490Z,2023-08-03T14:10:32.339Z,HDF-EOS2,MOD11A2,061,6.4.4,3.00513,further update is anticipated,reprocessed,MOD11A2.A2023201.h09v06.061.2023215145515,BOTH,2023-08-03T14:55:15.000Z,6.3.0,2023-07-20T00:00:00.000000Z,2023-07-27T23:59:59.000000Z,TERRA,21,06,00,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v05.061.2023215145934,rural,G2746053552-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-20T00:00:00.000Z,2023-07-27T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v05.061.2023215145934.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023201.h09v05.061.2023215145934.cmr.xml,MOD11A2.A2023201.h09v05.061.2023215145934,2023-08-03T10:09:42.632Z,2023-08-03T14:10:30.718Z,HDF-EOS2,MOD11A2,061,6.4.4,7.54251,further update is anticipated,reprocessed,MOD11A2.A2023201.h09v05.061.2023215145934,BOTH,2023-08-03T14:59:34.000Z,6.3.0,2023-07-20T00:00:00.000000Z,2023-07-27T23:59:59.000000Z,TERRA,75,25,00,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v06.061.2023220022032,rural,G2746623211-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v06.061.2023220022032.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v06.061.2023220022032.cmr.xml,MOD11A2.A2023209.h09v06.061.2023220022032,2023-08-07T21:24:30.314Z,2023-08-07T21:25:01.695Z,HDF-EOS2,MOD11A2,061,6.4.4,3.10255,further update is anticipated,reprocessed,MOD11A2.A2023209.h09v06.061.2023220022032,BOTH,2023-08-08T02:20:32.000Z,6.3.0,2023-07-28T00:00:00.000000Z,2023-08-04T23:59:59.000000Z,TERRA,19,08,01,72,NO,09,06,51009006,10.5067/MODIS/MOD11A2.061,https://doi.org,"(20.0041666666667, -95.7854936618109)","(20.0041666666667, -85.1431698709447)","(29.9958333333333, -103.927853790562)","(29.9958333333333, -92.3808679493012)"
./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v05.061.2023220022857,rural,G2746626093-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-07-28T00:00:00.000Z,2023-08-04T23:59:59.000Z,,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v05.061.2023220022857.hdf,./data/MODIS-LST/Austin_TX/rural/MOD11A2.A2023209.h09v05.061.2023220022857.cmr.xml,MOD11A2.A2023209.h09v05.061.2023220022857,2023-08-07T21:36:32.599Z,2023-08-07T21:37:05.260Z,HDF-EOS2,MOD11A2,061,6.4.4,8.00599,further update is anticipated,reprocessed,MOD11A2.A2023209.h09v05.061.2023220022857,BOTH,2023-08-08T02:28:57.000Z,6.3.0,2023-07-28T00:00:00.000000Z,2023-08-04T23:59:59.000000Z,TERRA,72,27,00,00,NO,09,05,51009005,10.5067/MODIS/MOD11A2.061,https://doi.org,"(30.0041666666667, -103.936581404975)","(30.0041666666667, -92.3886250648192)","(39.9958333333333, -117.492086386791)","(39.9958333333333, -104.438034823622)"
